relocating_to,nationality,visa_status,income_range,family_relocating,general,general_Family,general_visa_work,ZAV,visa_work,Visa_family,RP_work,RP_Family,RP_change,Registration
DE-FRANKFURT,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-DORTMUND,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-HAMBURG,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,GB,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,Switzerland,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-BERLIN,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-MUENCHEN,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-KOELN,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-BONN,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-STUTTGART,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-DUESSELDORF,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-FRANKFURT,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-DORTMUND,Third-country,blue card,0-30.000,Yes,1,1,,,,,,,1,1
DE-HAMBURG,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,EU,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-BERLIN,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-MUENCHEN,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-KOELN,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-BONN,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-STUTTGART,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-DUESSELDORF,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-FRANKFURT,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-DORTMUND,Privileged,blue card,0-30.000,Yes,1,1,,,,,,,1,
DE-HAMBURG,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,GB,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,Switzerland,blue card,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-BERLIN,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-MUENCHEN,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-KOELN,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-BONN,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-STUTTGART,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-DUESSELDORF,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-FRANKFURT,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-DORTMUND,Third-country,none,0-30.000,Yes,1,1,1,1,1,1,1,1,,1
DE-HAMBURG,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,EU,none,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-BERLIN,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-MUENCHEN,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-KOELN,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-BONN,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-STUTTGART,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-DUESSELDORF,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-FRANKFURT,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-DORTMUND,Privileged,none,0-30.000,Yes,1,1,,1,,,1,1,,1
DE-HAMBURG,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,GB,none,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,Switzerland,none,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-BERLIN,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-MUENCHEN,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-KOELN,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-BONN,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-STUTTGART,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-DUESSELDORF,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-FRANKFURT,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-DORTMUND,Third-country,visa,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-HAMBURG,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-BERLIN,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-KOELN,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-BONN,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-STUTTGART,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-DUESSELDORF,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-FRANKFURT,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-DORTMUND,EU,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-HAMBURG,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-BERLIN,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-MUENCHEN,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-KOELN,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-BONN,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-STUTTGART,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-DUESSELDORF,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-FRANKFURT,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-DORTMUND,Privileged,visa,30.001-40.560,Yes,1,1,,,,,,,1,
DE-HAMBURG,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-BERLIN,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
